category,shape,X,Y,Centre
microaneurysm,circle,571.0857,70.9856,10.862
microaneurysm,circle,581.7304,89.6682,9.5585
microaneurysm,circle,592.158,73.3753,9.993
microaneurysm,circle,411.1702,248.7197,9.8929
microaneurysm,circle,371.6612,355.8488,9.8068
microaneurysm,circle,364.9809,406.5744,7.7902
microaneurysm,circle,677.4377,239.0511,8.0895
microaneurysm,circle,835.3754,284.6415,9.8955
microaneurysm,circle,897.2222,259.0782,9.3457
microaneurysm,circle,912.1143,246.6186,6.8719
microaneurysm,circle,358.4299,549.4345,12.138
microaneurysm,circle,409.2016,687.0904,10.4452
microaneurysm,circle,959.6288,384.0631,8.3082
microaneurysm,circle,681.2425,769.2773,9.3971
microaneurysm,circle,995.9491,708.6298,8.2448
microaneurysm,circle,1165.2766,541.7453,7.3906
microaneurysm,circle,973.2992,719.2883,6.7078
microaneurysm,circle,663.288,646.41,11.2693
