X,Y,radius,obvious,regular,subtle,close_to_vessel
524.5842,96.0633,6.5512,0,1,0,0
593.0741,89.9091,8.5364,0,1,0,0
629.6268,176.8917,6.7972,0,0,1,0
607.0774,208.8277,5.7183,0,0,1,0
642.2502,212.9276,7.8761,1,0,0,1
722.0353,237.458,7.3539,0,0,1,1
350.1487,312.7737,9.9261,0,0,1,1
327.1604,407.7339,8.6026,0,1,0,1
291.7951,627.8471,7.8071,0,1,0,0
307.0597,639.4995,6.8749,0,1,0,0
300.3013,640.7812,7.9236,0,1,0,0
678.0081,352.4335,7.6244,0,1,0,0
708.8106,363.1077,7.4719,0,0,1,0
747.2375,376.2216,6.8619,0,0,1,0
522.0915,809.5083,8.9119,0,1,0,0
1037.3733,575.413,9.6456,0,0,1,1
1107.4091,605.2075,7.7164,0,0,1,0
1009.6449,458.5883,8.4144,0,0,1,0
546.6477,570.4514,9.2571,0,1,0,0
638.3963,515.32,8.64,0,0,1,1
500.4125,643.0691,8.64,0,0,1,1
860.1965,537.8849,7.9035,0,1,0,0
858.0761,551.8605,7.8071,0,1,0,0
700.1149,605.698,10.021,1,0,0,0
741.8691,678.4431,7.0518,0,1,0,0
791.603,658.4011,9.6499,0,0,1,0
826.0684,835.3229,9.3506,0,1,0,0
719.3265,765.9409,8.6026,0,1,0,0
827.981,762.3876,9.7247,0,1,0,0
777.2852,869.7334,9.5377,0,1,0,0
785.3268,871.0425,9.5377,0,1,0,0
